number,country,description,points,price,province
1370,US,"Bonterra's first rosé, showing the clean purity and balance that nearly always characterize its wines. Bone dry and vibrant in acidity, this Sangiovese, Zinfandel and Grenache blend has tart cherry, raspberry, tea and vanilla flavors. You might want to open it early to let some sulfur blow off.",86,13,California
1380,US,"This is a blush wine made primarily from the Spanish variety, Tempranillo. It's fairly dark for a rosé and quite full-bodied in cherry jam, pepper and vanilla flavors, while a splash of Albari?o adds needed acidity and the bright taste of citrus.",86,12,California
1390,South Africa,"An underlying richness and toasty character grounds the upfront aromas of citrus pith, green apple and pineapple core. Accessible and friendly, the structure is soft and easy, with medium acidity and light flavors of ripe pear flesh, honeydew and creamed orange. A hint of peach-pit nuttiness graces the medium-length finish. Drink now.",88,20,Swartland
1400,Portugal,"This is a fruity, juicy wine that has a dry tanninc core. That gives a mineral texture to the otherwise ripe and fruity wine. Full of black currant fruit flavors, shot through with acidity, the wine is ready to drink.",88,11,D?o
1410,Germany,"Aromas of pressed apples and pears turn fleshier and riper on the palate of this forward, concentrated Riesling. Sumptuous peach and apricot flavors amass a honeyed sweetness on the midpalate, balanced neatly by squirts of tangerine acidity. It's an approachable, fruity wine to drink now through 2017.",88,9,Mosel
1420,US,"Sourced entirely from the Sagemoor vineyard, this richly endowed Viognier smothers the palate in a lush mix of fat, candied citrus and tropical fruits. Honeysuckle and orange pekoe tea flavors trickle into the lingering, lip-smacking finish.",93,24,Washington
1430,US,"Caldwell managed to wrest plenty of blackberry and cherry fruit into this Cabernet Sauvignon-based blend, even though the vintage was a tough one. The wine, aged in 80% new French oak, is elaborate and opulent, but the tannins are strong, giving the palate a lockdown astringency. It should age well though and your window of drinking begins in 2019.",92,120,California
1440,US,"Sourced from a vineyard high up in the Mayacamas, on the Sonoma County side, this wine is intense with mountain grown fruit. The palate is full of ripe black currants, mocha and plenty of toasty oak. The tannins, while soft and pliant, are penetrating. All indications are of a wine that wants time in the cellar. Drink from 2016 till well beyond.",92,85,California
1450,France,"From one of the highest premier cru vineyards comes a wine that has a cool edge, generous fruit and firm tannins. Those elements come together with black cherry flavors and a dry core, promising a serious future. Drink from 2023.",94,85,Burgundy
1460,Italy,"At first shy and brooding, this slowly opens up in the glass, offering aromas of black-skinned berry, blue flower, licorice and flint. The palate has concentration and finesse, boasting chewy black cherry, blackberry, chopped mint, anise and mineral alongside firm acidity and lithe tannins. Give this time to fully develop. Drink 2017??023.",93,48,Northeastern Italy
1470,US,"Extremely luscious on the nose, this bottling is redolent of baked black cherries, vanilla, smoke and wet riverstones. That fruit-forward style carries over to the palate, with cherry pie and baking spice flavors, backed by a solid and an expertly balanced acidity that holds those rich flavors in check.",93,100,California
1480,Chile,"Pungent and sharp, and that's exactly the style that Los Vascos has mastered in recent years. This wine tastes very much like a coastal, Casablanca Chardonnay yet it hails from Colchagua. The nose is pithy and citric, and the palate is more of the same. Good mouthfeel and fresh, but green, citrusy and too much like Sauvignon Blanc.",85,12,Colchagua Valley
1490,New Zealand,"Offers herb, cranberry and cherry aromas upfront, followed by a medium-bodied palate that's cedary and herbal, but also shows some chunky cherry fruit. Finishes on oaky notes of coffee and chocolate.",85,23,Marlborough
1500,Italy,"Among the greatest expressions of Fiano, Cometa is a full and generous effort, with deep layers of passion fruit and stone fruit, plus touches of vanilla, honey and light spice. The concentration and freshness is wonderful, and the wine would pair well with steamed lobsters or buttery crab legs.",92,43,Sicily & Sardinia
1510,US,"Made from Merlot, Cabernet Sauvignon and Cabernet Franc grown in the warm Happy Canyon region of the valley, this shows the greatness of the 2007 vintage. It's ready to drink, bearing soft, gentle tannins that frame flavors of blackberry and cherry jam, chocolate, vanilla and sweet, smoky oak.",92,42,California
1520,France,"One of a pair of gorgeous Petit Manseng-based dessert wines by Claude Loustalot, this has richness but also lightness from the fresh acidity. This is fruity and fragrant, with a peach-like crispness, and it's worth keeping for another 3?? years.",92,50,Southwest France
1530,Spain,"This wine's melon and mango aromas come with an oily note of lanolin. It feels lazy on the palate, with just enough acidity to maintain freshness. Mild tropical fruit flavors turn yeasty on its hollow finish. Drink immediately.",86,15,Catalonia
1540,Spain,"The tomato and plum aromas in this Garnacha blend are a bit soupy. Its chunky palate is heavy with generic berry fruit and a touch of oxidation. A solid, middle-of-the-road pour.",85,10,Catalonia
1550,Italy,"Subtly scented, this opens with aromas of citrus zest, spring flower and wild berry. It's fresh and informal, with light strawberry and sour-cherry flavors supported by fresh acidity.",85,20,Veneto
1560,US,"A stunning Pirouette??3% Cabernet Sauvignon, 22% Merlot, 9% Cab Franc and 6% Petit Verdot. Full and magnificently rich, it is loaded with dense and thrilling fruit flavors of black cherry and cassis. A streak of iron and a hint of citrus keep the wine evolving through a long, beautifully balanced finish. Retasted after being open for 24 hours, the wine was as fresh and thrilling as on the first day.",98,50,Washington
1570,Italy,"Here's a beautifully chocolaty and rich blend of Cabernet Sauvignon, Merlot and Cabernet Franc, with plush layers of sweet cherry, Indian spice, tobacco and espresso. The wine is amazingly rich and long lasting, with silky, supple tannins at the very end. Keep it in your cellar 10 years or more, or drink it now.",96,75,Tuscany
1580,France,"Very supple wine, with great richness and density. It is all so complete, a pleasure, powerful yet also with sweet opulent fruits layered with dark tannins. For long-term aging.",95,89,Bordeaux
1590,France,"Now managed organically, this estate has produced a light, fruity wine. Fresh red berries are sustained by a firm tannin edge that offers a solid base for the fruitiness and acidity. Drink from 2017.",88,20,Bordeaux
1600,US,"Smoothness, complexity and a great price are the strong points of this medium-bodied wine. It has wonderful raspberry, cedar and red-cherry flavors, light tannins, a polished feel on the palate and lingering finish.",88,10,California
1610,US,"The aromas of flowers and freshly cut pear, melon and starfruit are bright and fresh. This wine is dry and thick in feel with abundant citrus-rind flavors. There's enjoyment to be had but it gets bogged down in the middle.",87,24,Washington
1620,Portugal,"The very local Tamarez grapes make an appearance in this lemon-colored and flavored wine. It is fruity, soft and bright with acidity. Drink now.",85,6,Alentejano
1630,Portugal,"Young and fruity, this is a bright and wine for immediate drinking. It has hints of tannins, plenty of red fruits and no wood.",85,8,Alentejano
1640,Portugal,"Tinta Miúda, known as the rare Graciano grape in Spain, is not often found in Portugal. Here it makes a ripe, juicy and jammy wine that's soft, with only a minimum of tannins to keep it together. It has a typically warm character and is ready to drink.",85,12,Tejo
1650,Portugal,"Lisboa, with its cool climate, lends itself to crisp rosés like this. This lively fruity wine is touched by hints of vanilla and layers of red-fruit flavors. It is light and ready to drink.",85,9,Lisboa
